codefiliere,codemodule,libellemodule,naturemodule,idsemestre,coderesponsable
LPGLAASRI,M01,Génie Logiciel-1,Majeur,S5,EnsGI008
LPGLAASRI,M02,Programmation Orientée Objet avancée,Majeur,S5,EnsGI006
LPGLAASRI,M03,Développement Web avec JavaEE et programmation Android,Majeur,S5,EnsGI010
LPGLAASRI,M04,Commutation de réseau local(CCNA3) et réseau étendu (CCNA4),Majeur,S5,EnsGI007
LPGLAASRI,M05,Administration avancée des systèmes et réseaux sous Windows server,Majeur,S5,EnsGI004
LPGLAASRI,M06,Informatique décisionnelle,Complémentaire,S5,EnsGI010
LPGLAASRI,M07,GENIE LOGICIEL-2,Majeur,S6,EnsGI002
LPGLAASRI,M08,Administration avancée des systèmes et réseaux sous Linux,Majeur,S6,EnsGI003
LPGLAASRI,M09,Anglais pour NTIC et interfaces homme-machine ,Complémentaire,S6,EnsGI001
LPGLAASRI,M10-11-12,Stage de Fin d'études,Majeur,S6,EnsGI005
GI,M01,Langues ,,S1,EnsGI003
GI,M02,Outils mathematiques pour informatiques ,,S1,EnsGI009
GI,M03,Architecture des ordinateurs,,S1,EnsGI003
GI,M04,Algorithmique - programmation et deveveloppement Web - Client,,S1,EnsGI005
GI,M05,Gestion et communication ,,S2,EnsGI001
GI,M06,Structures de données et développement Web Server ,,S2,EnsGI002
GI,M07,Fondements des systèmes et réseaux ,,S2,EnsGI008
GI,M08,Systèmes d’information et bases de données ,,S2,EnsGI001
GI,M09,TEC et culture d’entreprise ,,S3,EnsGI003
GI,M10,Analyse, conception et programmation orientée objet,,S3,EnsGI006
GI,M11,Réseaux informatiques,,S3,EnsGI008
GI,M12,Administration systèmes, réseaux et bases de données,,S3,EnsGI004
GI,M13,Génie logiciel et programmation des bases de données,,S4,EnsGI006
GI,M14,Mathématiques,,S4,EnsGI009
GI,M15,Projet de Fin d'Etudes,,S4,EnsGI010
GI,M16,Stage de Fin d'Etudes,,S4,EnsGI010
